1686 3
16.4 267.5 91.65
190.4 169.5 159.2
82.66 78.61 41.08
129.1 85.65 45.96
23.63 262.8 146.8
116.7 209.4 127.5
118.9 102.7 120.5
83.28 134.9 64.95
65.78 218.2 124
37.6 152.5 83.07
80.86 230.6 106.5
123.2 229.4 101.7
127.3 214.7 143.3
71.6 246.4 130.1
36.67 127.3 90.51
72.04 256.4 118.1
86.19 201.2 91.65
84.64 215.3 119.2
42.75 151.4 83.06
149.4 48.11 113.7
85.22 65.12 72.7
55.48 260.5 102.4
42.16 219.4 114.3
28.21 212.4 97.53
31.49 244.1 84.87
35.38 257 96.03
116.5 62.19 64.79
121.8 72.75 92.75
84.42 110.3 110.5
63.98 113.2 95.9
53.92 77.44 92.37
40.17 254 105.4
27.79 205.3 105.1
97.84 209.4 118.4
74.16 223.5 122.4
19.42 234.1 78.87
9.242 168.4 97.4
9.497 157.8 75.73
7.45 153.1 92.13
5.884 170.7 96.67
60.44 231.7 109.8
62.35 230 110.1
70.66 231.1 113.7
75.12 245.2 109.8
56.92 243.5 117.8
167.6 198.3 131.7
130.9 197.7 131.3
139.2 19.95 80.26
151 194.8 135.5
81.93 86.83 64.91
104.2 214.7 122.5
89.92 101.5 94.56
102.8 207.1 128.8
98.97 218.2 123.9
145.2 32.27 77.35
134.8 31.68 90.53
141.9 181.9 139
81.78 44.59 113.5
59.78 41.07 116.4
92.61 228.2 110.7
71.66 132 88.74
113.6 100.9 71.98
123.2 218.8 122.7
105 61.01 86.55
116.1 188.3 134.1
74.7 102.7 63.64
101.3 117.3 67.31
97.82 202.4 121
119.1 228.8 119.6
91.48 207.7 122.2
88.4 72.16 66.04
128.6 198.3 124.7
155.7 207.1 129.8
123.6 207.1 128.7
114.8 195.9 131.7
76.61 127.3 64.79
96.02 209.4 117.6
75.95 102.1 62.85
110.2 201.2 122.7
85.05 85.65 63.7
116.4 194.8 126.2
74.38 116.2 67.52
71.94 110.9 65.16
98.06 225.9 112
102.1 204.7 120.1
104.2 205.9 119.4
78.38 93.87 62.74
80.69 92.69 62.6
106.9 106.8 67.23
115.5 197.7 123.9
98.43 218.2 119.5
118.7 79.2 65.5
115.8 203 126.1
135.1 75.68 81.61
154.2 196.5 132.1
85.23 79.79 65.77
89.17 79.2 65.47
119.9 96.21 77.45
101.7 205.3 125
131.8 210.6 126.5
112.2 71.57 65.25
130.6 91.52 86.21
132.1 186 127.6
121.9 200.1 127.6
161 203 130.8
97.96 210.6 116.5
81.51 211.8 120.1
125.3 226.5 121.3
109.7 228.2 118.9
137.9 217.7 125
114.2 214.7 123.4
80.2 229.4 111.6
115.6 233.5 119.3
102.1 232.9 116.4
90.04 211.2 121.1
131.8 222.3 123.4
117.2 223.5 120.3
114.9 222.3 119.9
97.54 204.7 123.7
148.4 208.3 128.7
106.8 194.8 130.7
132 197.7 131.4
108.6 60.43 76.99
147.9 213 126.7
131.4 213 126.1
102.4 104.4 95.44
99.02 97.39 96.42
146.5 203 129.2
117.4 196.5 131.4
117 191.8 132.6
95.48 66.88 80.54
181.7 180.7 140.7
170.7 180.1 141.8
151.8 10.56 102.4
154.5 36.96 112.9
125 45.17 66.69
132.7 186.6 134.3
140.9 187.7 136.5
125.9 46.35 80.97
166.3 187.1 137.8
148.8 16.43 85.08
136.8 14.08 103.8
166.6 173.1 143.8
164.8 177.8 138.2
112.2 46.35 101.9
143.9 53.97 82.51
176.4 189.5 137
114.5 31.68 91.21
144.7 176 142.6
134.6 59.84 70.6
139.6 64.53 81.71
122 188.9 132.9
169.9 193 133.9
153.3 193.6 134.2
144.2 41.65 73.66
138.5 39.31 79.31
168.5 184.2 138.2
163.1 184.8 139.2
117.7 35.2 86.08
184.8 172.5 145.1
177.3 172.5 142.8
144 5.867 107.7
151.2 15.84 88.78
146.3 24.05 80.48
174.8 174.2 144.4
174.5 175.4 143.1
137.3 24.05 95.29
178.1 175.4 141.8
130.5 5.867 87.69
136.5 6.453 105.3
170.2 169.5 154.7
175.8 171.3 148.4
114 21.12 99.24
117.1 42.83 78.37
155.6 184.8 138.6
173.6 178.3 141.7
143.3 180.7 140.2
126 184.8 136.5
115.2 51.04 77.26
120.7 58.67 87.92
152.8 188.3 135.5
131.1 38.72 83.96
166.9 181.3 139.7
169.9 183.6 139.6
142.8 184.2 136.9
174.5 174.8 142.1
111 34.61 93.17
149.8 29.33 96.14
152.2 42.24 113.6
172.1 176.6 144.3
141.5 177.2 141.1
129.1 177.8 140.3
152.6 176.6 141.5
108.7 25.81 100.3
105.3 28.16 94.88
102.3 32.27 96.04
103.9 37.55 95.14
79.36 220 117.2
79.24 225.3 123.8
102.5 204.7 128.6
94.98 212.4 125.5
143.1 193 135.7
127.6 200.6 130.2
96.4 211.8 122.1
86.55 214.7 125.9
75.11 181.3 114.8
83.3 225.3 121.4
111.9 198.3 131.8
104.5 100.9 101.1
109.3 122.6 105.2
107.7 209.4 128.1
136.9 180.7 139.6
68.67 41.65 113.3
142.6 59.84 113.2
118 95.04 96.9
136.8 189.5 134.2
128.3 191.3 133.4
92.07 87.41 112.2
61.17 48.11 117
98.73 48.69 93.4
91.6 61.01 97.57
93.94 69.81 88.55
104.3 116.7 95.92
142.6 93.28 111.3
130.1 99.15 108.4
142.9 187.7 135.4
133.5 190.7 133
122.9 182.5 137.7
97.92 47.52 111.1
159.6 190.1 136.7
137.6 191.3 134.8
138.6 193.6 133.9
129.6 194.8 133.3
138.9 185.4 136.3
136.2 186.6 135.4
113.9 186.6 134.6
105.6 116.7 123.8
106.5 46.93 95.21
90.14 53.97 94.79
146.5 53.39 113.3
150.8 191.8 137.4
115.3 44 91.9
106.7 52.8 95.07
101.5 63.36 101
97.16 69.23 100.9
113.1 45.76 96.54
111.5 49.87 96.63
108.8 54.56 95.78
105.7 58.08 94.02
129.7 199.5 131.2
107.6 198.9 130
102.8 188.9 132.5
68.61 47.52 111.2
79.98 52.8 115.6
64.75 42.83 116.1
125 195.9 132.6
99.69 194.2 131.5
88.15 98.56 111
77.03 84.48 110.5
88.79 51.63 102.5
69.55 42.83 113.8
67.12 46.35 111.3
61.29 46.93 116.4
91.06 68.05 92.49
111.1 119.1 101.8
118.2 96.21 102.8
119.1 95.04 92.18
85.51 65.71 97.29
83 65.71 95.11
66.82 43.41 115.7
65.75 49.87 116.1
101.7 63.36 94.88
117.1 109.1 104.5
116.3 106.8 97.4
117.3 106.2 92.8
39.67 221.2 78.17
40.92 257 97.63
60.81 204.7 129.3
38.69 160.7 81.86
8.088 195.9 79.52
7.493 203 80.95
12.35 264 95.47
7.683 201.8 92.05
34.36 209.4 122.7
24.85 151.9 92.78
25.16 153.7 103.7
25.16 158.4 102.5
43.33 57.49 121
35 35.79 107.4
93.08 60.43 94.3
80.94 87.41 49.54
48.2 85.65 100.3
40.55 82.13 98.73
41.43 95.63 93.43
47.98 112.6 81.69
84.96 89.17 94.55
83.31 87.41 88.69
76.47 96.21 75.81
65.63 87.41 73.1
113.7 221.8 136.2
34.5 46.93 124.7
174.7 200.1 141
96.92 54.56 85.83
107.5 219.4 129.2
52.15 58.08 83.71
49.83 101.5 52.1
40.11 55.15 136.3
19.58 167.2 114.6
43.05 227.6 153.7
38.92 257 135.6
34.77 259.3 138.9
140.8 203.6 140.1
111.8 89.17 105.8
118.7 222.9 139.3
96.08 231.1 135.7
124.1 19.36 112.7
125.2 28.75 96.33
155.5 201.8 134.4
167.4 197.7 134
126.9 211.8 131.5
